fiscal_year,payroll_number,agency_name,agency_start_date,work_location_borough,title_description,leave_status,base_salary,pay_basis,regular_hours,regular_gross_paid,ot_hours,total_ot_paid,total_other_pay,is_manager,is_violation
2025,57,FIRE DEPARTMENT,6/3/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,39386,per Annum,2308,40411.47,256.75,5756.22,4136.27,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,CEASED,39386,per Annum,1134.5,16795.2,38.37,1030.82,2414.45,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,CEASED,39386,per Annum,1508.97,27263.97,15.75,823.13,4432.63,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/3/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,CEASED,39386,per Annum,2126.5,38534.63,0,113.7,3909.79,FALSE,FALSE
2025,57,FIRE DEPARTMENT,9/12/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,CEASED,39386,per Annum,565,10463.03,59.5,1769.97,1667.8,FALSE,FALSE
2025,56,POLICE DEPARTMENT,1/23/2012,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38982.71,319.25,8987.8,1575.33,FALSE,FALSE
2025,56,POLICE DEPARTMENT,12/8/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38357.74,265,7305.83,1578.63,FALSE,FALSE
2025,56,POLICE DEPARTMENT,12/8/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38357.74,528.5,14624.34,1579.11,FALSE,FALSE
2025,56,POLICE DEPARTMENT,12/8/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38357.74,612,16969.97,1648.25,FALSE,FALSE
2025,56,POLICE DEPARTMENT,12/8/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,37771.61,406.75,11070.08,1802.85,FALSE,FALSE
2025,56,POLICE DEPARTMENT,12/8/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38357.74,360.5,10045.08,1513.93,FALSE,FALSE
2025,56,POLICE DEPARTMENT,12/8/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38357.74,435.5,12046.88,1568.36,FALSE,FALSE
2025,56,POLICE DEPARTMENT,4/19/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38982.71,381,10752.01,2089.37,FALSE,FALSE
2025,56,POLICE DEPARTMENT,4/19/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38982.71,874.5,24504.78,1839.68,FALSE,FALSE
2025,56,POLICE DEPARTMENT,12/8/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,37897.41,167.75,4477.2,1510.61,FALSE,FALSE
2025,56,POLICE DEPARTMENT,12/14/2022,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,27406.03,384.25,9659.64,1743.63,FALSE,FALSE
2025,56,POLICE DEPARTMENT,12/8/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38357.74,103.25,2796.96,1505.31,FALSE,FALSE
2025,56,POLICE DEPARTMENT,11/2/2020,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38982.71,549,15491.68,1575.33,FALSE,FALSE
2025,56,POLICE DEPARTMENT,4/19/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38982.71,218.75,6199.26,1725.99,FALSE,FALSE
2025,56,POLICE DEPARTMENT,12/8/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38357.74,707,19838.24,2065.31,FALSE,FALSE
2025,56,POLICE DEPARTMENT,4/19/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38982.71,378.25,10599.33,1575.33,FALSE,FALSE
2025,56,POLICE DEPARTMENT,4/19/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38982.71,422.5,11878.2,1500,FALSE,FALSE
2025,56,POLICE DEPARTMENT,12/14/2022,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,37194.67,840.5,23781.26,1731.58,FALSE,FALSE
2025,56,POLICE DEPARTMENT,12/8/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38357.74,772,21395.09,1575.74,FALSE,FALSE
2025,56,POLICE DEPARTMENT,4/19/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38982.71,350.25,9794.61,1706.69,FALSE,FALSE
2025,56,POLICE DEPARTMENT,4/19/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38982.71,735,20672.81,1739.52,FALSE,FALSE
2025,56,POLICE DEPARTMENT,4/19/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2190.85,33027.57,20,533.68,1500,FALSE,FALSE
2025,56,POLICE DEPARTMENT,5/5/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,33372.31,87.5,2128.87,1552.26,FALSE,FALSE
2025,56,POLICE DEPARTMENT,4/19/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38982.71,164,4554.79,1580.98,FALSE,FALSE
2025,56,POLICE DEPARTMENT,4/14/2016,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38982.71,824.5,23241.09,369.49,FALSE,FALSE
2025,56,POLICE DEPARTMENT,5/5/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38982.71,792.5,22264.58,1648.31,FALSE,FALSE
2025,56,POLICE DEPARTMENT,12/8/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38357.74,831.25,23147,1572.92,FALSE,FALSE
2025,56,POLICE DEPARTMENT,12/3/2021,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38982.71,11.25,312.86,175.33,FALSE,FALSE
2025,56,POLICE DEPARTMENT,5/5/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38982.71,553.75,15593.73,1500,FALSE,FALSE
2025,56,POLICE DEPARTMENT,4/19/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38982.71,439.25,12426.22,1575.33,FALSE,FALSE
2025,56,POLICE DEPARTMENT,5/12/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,40502,per Annum,2080,38982.71,617.25,17407.94,1505.64,FALSE,FALSE
2025,827,DEPARTMENT OF SANITATION,8/28/2017,BRONX,SANITATION ENFORCEMENT AGENT,ACTIVE,40513,per Annum,2080,40076.09,33,1006.89,3663.03,FALSE,FALSE
2025,827,DEPARTMENT OF SANITATION,8/28/2017,BRONX,SANITATION ENFORCEMENT AGENT,ACTIVE,40513,per Annum,2080,40286.84,44,1323.15,3282.62,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/14/2010,BRONX,CLERICAL ASSOCIATE MOST MAYORAL AG,ACTIVE,40723,per Annum,1631,35380.2,44.5,1127.6,1615.86,FALSE,FALSE
2025,69,HRA/DEPT OF SOCIAL SERVICES,1/29/2024,BRONX,CLERICAL ASSOCIATE MOST MAYORAL AG,CEASED,40956,per Annum,280,4776.6,0,0,959.39,FALSE,FALSE
2025,827,DEPARTMENT OF SANITATION,8/21/2023,BRONX,CLERICAL ASSOCIATE MOST MAYORAL AG,CEASED,40956,per Annum,490,10618.12,28,734,246.31,FALSE,FALSE
2025,827,DEPARTMENT OF SANITATION,4/17/2017,BRONX,SANITATION ENFORCEMENT AGENT,ACTIVE,41138,per Annum,1640,30087.83,0,0,3411.14,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/3/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2310,41310.43,251.5,6501.21,4965.32,FALSE,FALSE
2025,57,FIRE DEPARTMENT,5/22/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2301.25,43152.7,58.25,3010.06,5949.83,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2247.75,40416.12,98.25,3322.67,5128.76,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2366.5,42312.97,505.5,14171.08,6616.39,FALSE,FALSE
2025,57,FIRE DEPARTMENT,5/22/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2274.92,41762.57,209.67,5329.92,5679.01,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/3/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2260.42,40127.24,196.98,5106.83,4227.35,FALSE,FALSE
2025,57,FIRE DEPARTMENT,5/22/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2297.5,43117.5,45.75,2598.63,5986.68,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2268,41306.37,72.5,2377.32,6252.71,FALSE,FALSE
2025,57,FIRE DEPARTMENT,2/13/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,CEASED,41617,per Annum,1568,28346.24,181.75,5729.89,5313.21,FALSE,FALSE
2025,57,FIRE DEPARTMENT,5/22/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ON LEAVE,41617,per Annum,2166.5,39470.04,140,3344.24,6202.93,FALSE,FALSE
2025,57,FIRE DEPARTMENT,5/22/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2306.5,42939.42,36.75,1223.35,7446.74,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2370.25,41506.29,187.5,4781.54,5585.87,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2297,41546.36,241.5,7614.09,4688.08,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2332.75,41887.12,416.5,11712.03,4024.59,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2360.5,41909.34,262,6395.54,5370.68,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/3/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2292,41214.32,331.25,9494.92,6023.16,FALSE,FALSE
2025,57,FIRE DEPARTMENT,5/22/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2296.25,41795.75,102.75,2068.42,4138.14,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/3/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,41617,per Annum,2304,41930.76,303.25,8087.94,6157.24,FALSE,FALSE
2025,57,FIRE DEPARTMENT,2/13/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,CEASED,41617,per Annum,1400,25612.32,0,64.9,3052.42,FALSE,FALSE
